ID,Date,Open,High,Low,Close,Volume,Complete,Created_at,Updated_at
74238,"2024-04-17 00:00:00",154.59,154.598,154.559,154.574,171,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74239,"2024-04-17 00:01:00",154.574,154.576,154.542,154.551,147,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74240,"2024-04-17 00:02:00",154.551,154.578,154.551,154.555,100,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74241,"2024-04-17 00:03:00",154.555,154.555,154.506,154.506,133,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74242,"2024-04-17 00:04:00",154.506,154.534,154.504,154.522,157,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74243,"2024-04-17 00:05:00",154.522,154.534,154.505,154.534,153,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74244,"2024-04-17 00:06:00",154.534,154.548,154.532,154.544,131,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74245,"2024-04-17 00:07:00",154.544,154.544,154.492,154.5,147,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74246,"2024-04-17 00:08:00",154.5,154.504,154.48,154.48,134,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74247,"2024-04-17 00:09:00",154.48,154.484,154.466,154.476,147,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74248,"2024-04-17 00:10:00",154.476,154.522,154.465,154.508,134,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74249,"2024-04-17 00:11:00",154.508,154.517,154.505,154.516,86,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74250,"2024-04-17 00:12:00",154.516,154.542,154.516,154.542,128,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74251,"2024-04-17 00:13:00",154.542,154.562,154.542,154.558,157,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74252,"2024-04-17 00:14:00",154.558,154.574,154.551,154.57,123,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74253,"2024-04-17 00:15:00",154.57,154.575,154.556,154.558,101,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74254,"2024-04-17 00:16:00",154.558,154.568,154.545,154.552,118,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74255,"2024-04-17 00:17:00",154.552,154.554,154.529,154.529,98,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74256,"2024-04-17 00:18:00",154.529,154.54,154.526,154.54,61,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74257,"2024-04-17 00:19:00",154.54,154.542,154.508,154.51,139,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74258,"2024-04-17 00:20:00",154.51,154.528,154.508,154.528,133,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74259,"2024-04-17 00:21:00",154.528,154.544,154.525,154.542,128,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74260,"2024-04-17 00:22:00",154.542,154.549,154.535,154.548,66,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74261,"2024-04-17 00:23:00",154.548,154.554,154.533,154.537,84,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74262,"2024-04-17 00:24:00",154.537,154.54,154.53,154.536,123,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74263,"2024-04-17 00:25:00",154.536,154.542,154.516,154.516,102,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74264,"2024-04-17 00:26:00",154.516,154.521,154.5,154.502,113,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74265,"2024-04-17 00:27:00",154.502,154.504,154.5,154.502,91,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74266,"2024-04-17 00:28:00",154.502,154.54,154.497,154.53,151,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74267,"2024-04-17 00:29:00",154.53,154.532,154.509,154.516,68,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74268,"2024-04-17 00:30:00",154.516,154.542,154.516,154.524,160,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74269,"2024-04-17 00:31:00",154.524,154.526,154.498,154.524,90,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74270,"2024-04-17 00:32:00",154.524,154.541,154.502,154.541,175,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74271,"2024-04-17 00:33:00",154.541,154.552,154.528,154.55,108,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74272,"2024-04-17 00:34:00",154.55,154.565,154.55,154.554,117,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74273,"2024-04-17 00:35:00",154.554,154.564,154.548,154.56,98,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74274,"2024-04-17 00:36:00",154.56,154.582,154.558,154.58,103,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74275,"2024-04-17 00:37:00",154.58,154.584,154.56,154.56,115,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74276,"2024-04-17 00:38:00",154.56,154.586,154.549,154.552,89,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74277,"2024-04-17 00:39:00",154.552,154.559,154.548,154.554,66,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74278,"2024-04-17 00:40:00",154.554,154.57,154.548,154.566,60,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74279,"2024-04-17 00:41:00",154.566,154.57,154.559,154.567,49,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74280,"2024-04-17 00:42:00",154.567,154.571,154.562,154.568,70,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74281,"2024-04-17 00:43:00",154.568,154.587,154.564,154.585,63,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74282,"2024-04-17 00:44:00",154.585,154.612,154.585,154.604,64,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74283,"2024-04-17 00:45:00",154.604,154.614,154.602,154.614,61,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
74284,"2024-04-17 00:46:00",154.614,154.627,154.611,154.626,101,1,"2024-04-28 20:00:45","2024-04-28 20:00:45"
