ID,Date,Open,High,Low,Close,Volume,Complete,Created_at,Updated_at
82805,"2024-04-25 00:00:00",155.004,155.009,154.974,155.004,184,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82806,"2024-04-25 00:01:00",155.004,155.006,154.99,155.006,141,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82807,"2024-04-25 00:02:00",155.006,155.014,155,155.012,163,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82808,"2024-04-25 00:03:00",155.012,155.013,154.997,155,86,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82809,"2024-04-25 00:04:00",155,155.001,154.984,154.991,83,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82810,"2024-04-25 00:05:00",154.991,155.014,154.99,155.013,56,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82811,"2024-04-25 00:06:00",155.013,155.026,155.013,155.025,78,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82812,"2024-04-25 00:07:00",155.025,155.025,154.98,155.002,86,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82813,"2024-04-25 00:08:00",155.002,155.015,154.996,155.015,124,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82814,"2024-04-25 00:09:00",155.015,155.02,155.01,155.015,62,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82815,"2024-04-25 00:10:00",155.015,155.016,155.004,155.01,65,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82816,"2024-04-25 00:11:00",155.01,155.014,155.004,155.014,80,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82817,"2024-04-25 00:12:00",155.014,155.016,155.004,155.013,47,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82818,"2024-04-25 00:13:00",155.013,155.017,155.01,155.016,83,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82819,"2024-04-25 00:14:00",155.016,155.026,155.01,155.024,76,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82820,"2024-04-25 00:15:00",155.024,155.026,155.014,155.016,55,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82821,"2024-04-25 00:16:00",155.016,155.022,155.001,155.002,99,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82822,"2024-04-25 00:17:00",155.002,155.004,154.993,155.003,91,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82823,"2024-04-25 00:18:00",155.003,155.006,155.001,155.004,93,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
82824,"2024-04-25 00:19:00",155.004,155.012,155.002,155.012,77,1,"2024-04-28 20:00:48","2024-04-28 20:00:48"
